timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode
1769808852427342170,0,0,0,0,0,0,0
1769808852437397682,0,0,0,0,0,0,0
1769808852447522121,0,0,0,0,0,0,0
1769808852457634727,0,0,0,0,0,0,0
1769808852467801314,0,0,0,0,0,0,0
1769808852479228198,0,0,0,0,0,0,0
1769808852489452619,0,0,0,0,0,0,0
1769808852499697893,0,0,0,0,0,0,0
1769808852509871870,0,0,0,0,0,0,0
1769808852520037236,0,0,0,0,0,0,0
1769808852531609917,0,0,0,0,0,0,0
1769808852542010416,0,0,0,0,0,0,0
1769808852552494249,0,0,0,0,0,0,0
1769808852562769486,0,0,0,0,0,0,0
1769808852573108298,0,0,0,0,0,0,0
1769808852584610794,0,0,0,0,0,0,0
1769808852594987273,0,0,0,0,0,0,0
1769808852605282233,0,0,0,0,0,0,0
1769808852615892623,0,0,0,0,0,0,0
1769808852626189991,0,0,0,0,0,0,0
1769808852637748394,0,0,0,0,0,0,0
1769808852647973205,0,0,0,0,0,0,0
1769808852658293128,0,0,0,0,0,0,0
1769808852668617904,0,0,0,0,0,0,0
1769808852680351643,0,0,0,0,0,0,0
1769808852690449859,0,0,0,0,0,0,0
1769808852700639762,0,0,0,0,0,0,0
1769808852710993149,0,0,0,0,0,0,0
1769808852721400036,0,0,0,0,0,0,0
1769808852733210814,0,0,0,0,0,0,0
1769808852744530751,0,0,0,0,0,0,0
1769808852755044233,0,0,0,0,0,0,0
1769808852765355045,0,0,0,0,0,0,0
1769808852775606985,0,0,0,0,0,0,0
1769808852787141648,0,0,0,0,0,0,0
1769808852797483627,0,0,0,0,0,0,0
1769808852807875440,0,0,0,0,0,0,0
1769808852818348477,0,0,0,0,0,0,0
1769808852829822657,0,0,0,0,0,0,0
1769808852840073283,0,0,0,0,0,0,0
1769808852850357891,0,0,0,0,0,0,0
1769808852860661388,0,0,0,0,0,0,0
1769808852871031886,0,0,0,0,0,0,0
1769808852882579882,0,0,0,0,0,0,0
1769808852892808970,0,0,0,0,0,0,0
1769808852903155227,0,0,0,0,0,0,0
1769808852913416205,0,0,0,0,0,0,0
1769808852923668313,0,0,0,0,0,0,0
1769808852935409534,0,0,0,0,0,0,0
1769808852945720531,0,0,0,0,0,0,0
1769808852956154585,0,0,0,0,0,0,0
1769808852966474583,0,0,0,0,0,0,0
1769808852976686301,0,0,0,0,0,0,0
1769808852988215241,0,0,0,0,0,0,0
1769808852998532960,0,0,0,0,0,0,0
1769808853008852531,0,0,0,0,0,0,0
1769808853019180990,0,0,0,0,0,0,0
1769808853030682281,0,0,0,0,0,0,0
1769808853040896757,0,0,0,0,0,0,0
1769808853051134882,0,0,0,0,0,0,0
1769808853061303321,0,0,0,0,0,0,0
1769808853071543390,0,0,0,0,0,0,0
1769808853083070533,0,0,0,0,0,0,0
1769808853093290009,0,0,0,0,0,0,0
1769808853103637395,0,0,0,0,0,0,0
1769808853113721147,0,0,0,0,0,0,0
1769808853123978864,0,0,0,0,0,0,0
1769808853135460377,0,0,0,0,0,0,0
1769808853145825207,0,0,0,0,0,0,0
1769808853157069031,0,0,0,0,0,0,0
1769808853167347990,0,0,0,0,0,0,0
1769808853177660338,0,0,0,0,0,0,0
1769808853189505948,0,0,0,0,0,0,0
1769808853200252099,0,0,0,0,0,0,0
1769808853211035138,0,0,0,0,0,0,0
1769808853221969680,0,0,0,0,0,0,0
1769808853233785864,0,0,0,0,0,0,0
1769808853244533255,0,0,0,0,0,0,0
1769808853254540118,0,0,0,0,0,0,0
1769808853265522123,0,0,0,0,0,0,0
1769808853276423331,0,0,0,0,0,0,0
1769808853288113588,0,0,0,0,0,0,0
1769808853299218706,0,0,0,0,0,0,0
1769808853309373070,0,0,0,0,0,0,0
1769808853319739752,0,0,0,0,0,0,0
1769808853331710513,0,0,0,0,0,0,0
1769808853342803168,0,0,0,nan,nan,nan,0
1769808853354238458,0,0,nan,nan,nan,nan,0
1769808853364864403,0,0,nan,nan,nan,nan,0
1769808853375957447,0,0,nan,nan,nan,nan,0
1769808853388336935,0,0,nan,nan,nan,nan,0
1769808853399622482,0,0,nan,nan,nan,nan,0
1769808853410281260,0,0,nan,nan,nan,nan,0
1769808853421289915,0,0,nan,nan,nan,nan,0
1769808853433929832,0,0,nan,nan,nan,nan,0
1769808853444449035,0,0,nan,nan,nan,nan,0
1769808853454761402,0,0,nan,nan,nan,nan,0
1769808853465239770,0,0,nan,nan,nan,nan,0
1769808853475840604,0,0,nan,nan,nan,nan,0
1769808853487706826,0,0,nan,nan,nan,nan,0
1769808853498296863,0,0,nan,nan,nan,nan,0
1769808853508849436,0,0,nan,nan,nan,nan,0
1769808853519332953,0,0,nan,nan,nan,nan,0
1769808853531170323,0,0,nan,nan,nan,nan,0
1769808853541681748,0,0,nan,nan,nan,nan,0
1769808853552766847,nan,0.0117188,nan,nan,nan,nan,0
1769808853563510627,nan,0.00195312,nan,nan,nan,nan,0
1769808853573975070,0.0169315,0.00195312,nan,nan,nan,nan,0
1769808853585798143,0.0169315,0,nan,nan,nan,nan,0
1769808853596347957,0.0169315,0,nan,nan,nan,nan,0
1769808853606854530,0.0169315,-0.00195312,nan,nan,nan,nan,0
1769808853617448253,0.0169315,0,nan,nan,nan,nan,0
1769808853627947603,0.0169315,0.00195312,nan,nan,nan,nan,0
1769808853639726861,0.0169338,0,nan,nan,nan,nan,0
1769808853650626624,0.0169338,0.00195312,nan,nan,nan,nan,0
1769808853661554851,0.0170227,0.00195312,nan,nan,nan,nan,0
1769808853672089036,0.0170227,0,nan,nan,nan,nan,0
1769808853683931276,0.0170227,-0.00195312,nan,nan,nan,nan,0
1769808853694576258,0.0170227,-0.00195312,nan,nan,nan,nan,0
1769808853705326131,0.0170227,-0.00195312,nan,nan,nan,nan,0
1769808853715759443,0.0170276,0.00195312,nan,nan,nan,nan,0
1769808853726525372,0.0170227,-0.00195312,nan,nan,nan,nan,0
1769808853738552114,0.0170276,0.00195312,nan,nan,nan,nan,0
1769808853749427655,0.0171085,0,nan,nan,nan,nan,0
