timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode
1755034842504440196,0,0,0,0,0,0,0
1755034842529261408,0,0,0,0,0,0,0
1755034842554568472,0,0,0,0,0,0,0
1755034842579370258,0,0,0,0,0,0,0
1755034842604439933,0,0,0,0,0,0,0
1755034842629384182,0,0,0,0,0,0,0
1755034842654416339,0,0,0,0,0,0,0
1755034842679291587,0,0,0,0,0,0,0
1755034842704597559,0,0,0,0,0,0,0
1755034842729422012,0,0,0,0,0,0,0
1755034842754420131,0,0,0,0,0,0,0
1755034842779520529,0,0,0,0,0,0,0
1755034842804434759,0,0,0,0,0,0,0
1755034842829424452,0,0,0,0,0,0,0
1755034842854409831,0,0,0,0,0,0,0
1755034842879494766,0,0,0,0,0,0,0
1755034842904724515,0,0,0,0,0,0,0
1755034842933048958,0,0,0,0,0,0,0
1755034842954745273,0,0,0,0,0,0,0
1755034842979509206,0,0,0,0,0,0,0
1755034843004379955,0,0,0,0,0,0,0
1755034843029324537,0,0,0,0,0,0,0
1755034843054815066,0,0,0,0,0,0,0
1755034843079342536,0,0,0,0,0,0,0
1755034843104398081,0,0,0,0,0,0,0
1755034843129362293,0,0,0,0,0,0,0
1755034843154395209,0,0,0,0,0,0,0
1755034843179317143,0,0,0,0,0,0,0
1755034843204392688,0,0,0,0,0,0,0
1755034843229366067,0,0,0,0,0,0,0
1755034843254385316,0,0,0,0,0,0,0
1755034843279411454,0,0,0,0,0,0,0
1755034843304323129,0,0,0,0,0,0,0
1755034843329381267,0,0,0,0,0,0,0
1755034843354413220,0,0,0,0,0,0,0
1755034843379380765,0,0,0,0,0,0,0
1755034843404386847,0,0,0,0,0,0,0
1755034843429363893,0,0,0,0,0,0,0
1755034843454302586,0,0,0,0,0,0,0
1755034843479404057,0,0,0,0,0,0,0
1755034843504392955,0,0,0,0,0,0,0
1755034843529310259,0,0,0,0,0,0,0
1755034843554420749,0,0,0,0,0,0,0
1755034843579362127,0,0,0,0,0,0,0
1755034843604385043,0,0.00195312,0,0,0,0,0
1755034843629357329,3.16683,-0.00195312,0,0,0,0,0
1755034843654374652,3.16683,-0.00195312,0,0,0,0,0
1755034843679308179,3.16686,0.00390625,0,0,0,0,0
1755034843704365336,3.16686,0.00195312,0,0,0,0,0
1755034843729376362,3.16704,0,0,0,0,0,0
1755034843754432945,3.16704,0,0,0,0,0,0
1755034843779268601,3.16704,0,0,0,0,0,0
1755034843804401276,3.16713,0.00195312,0,0,0,0,0
1755034843829411359,3.16715,0.00390625,0,0,0,0,0
1755034843854404367,3.16725,0,0,0,0,0,0
1755034843879338912,3.16725,0.00195312,0,0,0,0,0
1755034843904658921,3.16733,0.00195312,0,0,0,0,0
1755034843929934949,3.16727,0.00195312,0,0,0,0,0
1755034843954427141,3.16736,-0.00195312,0,0,0,0,0
1755034843979382223,3.16736,0.00195312,0,0,0,0,0
1755034844004310194,3.16746,0.00195312,0,0,0,0,0
1755034844029347851,3.16754,-0.00195312,0,0,0,0,0
1755034844054401507,3.16746,0,0,0,0,0,0
1755034844079362923,3.16748,0,0,0,0,0,0
1755034844104342116,3.16748,-0.00195312,0,0,0,0,0
1755034844129314365,3.16756,0,0,0,0,0,0
1755034844154411874,3.16748,0,0,0,0,0,0
1755034844179374956,3.1675,-0.00195312,0,0,0,0,0
1755034844204413853,3.1676,0.00585938,0,0,0,0,0
1755034844229368213,3.1676,0.00195312,0,0,0,0,0
1755034844254430351,3.1676,0.00195312,0,0,0,0,0
1755034844279355137,3.16771,0.00976562,0,0,0,0,0
1755034844304300349,3.16772,0,0,0,0,0,0
1755034844329415339,3.16772,0.00195312,0,0,0,0,0
1755034844354418606,3.16781,-0.00195312,0,0,0,0,0
1755034844379410429,3.16793,0.00390625,0,0,0,0,0
