timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,motor_drv_mode
1754949077578072973,0,0,0,0,0,0,0
1754949077601157442,0,0,0,0,0,0,0
1754949077626133562,0,0,0,0,0,0,0
1754949077651153719,0,0,0,0,0,0,0
1754949077676156209,0,0,0,0,0,0,0
1754949077701453293,0,0,0,0,0,0,0
1754949077730673569,0,0,0,0,0,0,0
1754949077751930849,0,0,0,0,0,0,0
1754949077776315894,0,0,0,0,0,0,0
1754949077801201569,0,0,0,0,0,0,0
1754949077826166819,0,0,0,0,0,0,0
1754949077851408976,0,0,0,0,0,0,0
1754949077876641393,0,0,0,0,0,0,0
1754949077901442105,0,0,0,0,0,0,0
1754949077926204299,0,0,0,0,0,0,0
1754949077951191901,0,0,0,0,0,0,0
1754949077976452799,0,0,0,0,0,0,0
1754949078001160104,0,0,0,0,0,0,0
1754949078026146946,0,0,0,0,0,0,0
1754949078051345326,0,0,0,0,0,0,0
1754949078076392890,0,0,0,0,0,0,0
1754949078101183195,0,0,0,0,0,0,0
1754949078126168149,0,0,0,0,0,0,0
1754949078151395362,0,0,0,0,0,0,0
1754949078176158852,0,0,0,0,0,0,0
1754949078201267676,0,0,0,0,0,0,0
1754949078226796852,0,0,0,0,0,0,0
1754949078251152064,0,0,0,0,0,0,0
1754949078276391851,0,0,0,0,0,0,0
1754949078301477990,0,0,0,0,0,0,0
1754949078326227424,0,0,0,0,0,0,0
1754949078351171637,0,0,0,0,0,0,0
1754949078376541961,0,0,0,0,0,0,0
1754949078401362118,0,0,0,0,0,0,0
1754949078426187071,0,0,0,0,0,0,0
1754949078451149191,0,0,0,0,0,0,0
1754949078476265496,0,0,0,0,0,0,0
1754949078501184746,0,0,0,0,0,0,0
1754949078526158755,0,0,0,0,0,0,0
1754949078551184505,0,0,0,0,0,0,0
1754949078576270236,0,0,0,0,0,0,0
1754949078601092171,0,0,0,0,0,0,0
1754949078626163087,0,0,0,0,0,0,0
1754949078651173337,0,0,0,0,0,0,0
1754949078676122753,0,0.00195312,0,0,0,0,0
1754949078701181447,3.13955,0,0,0,0,0,0
1754949078726176438,3.13955,0,0,0,0,0,0
1754949078751181410,3.13941,0.00195312,0,0,0,0,0
1754949078776219604,3.13953,-0.00195312,0,0,0,0,0
1754949078801134465,3.13953,-0.00195312,0,0,0,0,0
