timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_drv_mode
1754342506145779591,0,0,0,0,0,0
1754342506178941548,0,0,0,0,0,0
1754342506210323707,0,0,0,0,0,0
1754342506243526534,0,0,0,0,0,0
1754342506275965361,0,0,0,0,0,0
1754342506309134818,0,0,0,0,0,0
1754342506340168662,0,0,0,0,0,0
1754342506372951229,0,0,0,0,0,0
1754342506404031925,0,0,0,0,0,0
1754342506436860956,0,0,0,0,0,0
1754342506468002448,0,0,0,0,0,0
1754342506500441627,0,0,0,0,0,0
1754342506531547026,0,0,0,0,0,0
1754342506563689945,0,0,0,0,0,0
1754342506594289307,0,0,0,0,0,0
1754342506626408448,0,0,0,0,0,0
1754342506656973736,0,0,0,0,0,0
1754342506689112803,0,0,0,0,0,0
1754342506719624091,0,0,0,0,0,0
1754342506751753640,0,0,0,0,0,0
1754342506782269909,0,0,0,0,0,0
1754342506814420791,0,0,0,0,0,0
1754342506844931135,0,0,0,0,0,0
1754342506877105868,0,0,0,0,0,0
1754342506907607341,0,0,0,0,0,0
1754342506939767631,0,0,0,0,0,0
1754342506970809308,0,0,0,0,0,0
1754342507003546135,0,0,0,0,0,0
1754342507034585071,0,0,0,0,0,0
1754342507067172583,0,0,0,0,0,0
1754342507098122001,0,0,0,0,0,0
1754342507130649458,0,0,0,0,0,0
1754342507161677339,0,0,0,0,0,0
1754342507194210369,0,0,0,0,0,0
1754342507224929231,0,0,0,0,0,0
1754342507257145391,0,0,0,0,0,0
1754342507287945531,0,0,0,0,0,0
1754342507320071765,0,0,0,0,0,0
1754342507352262276,0,0,0,0,0,0
1754342507382890064,0,0,0,0,0,0
1754342507415112558,0,0,0,0,0,0
1754342507445738716,0,0,0,0,0,0
1754342507477899598,0,0,0,0,0,0
1754342507508454756,0,0,0,0,0,0
1754342507542232510,0,0,0,0,0,0
1754342507572894965,0,0,0,0,0,0
1754342507605189384,0,0,0,0,0,0
1754342507636134005,0,0,0,0,0,0
1754342507669015444,0,0,0,0,0,0
1754342507700309325,0,0,0,0,0,0
1754342507733522837,0,0,0,0,0,0
1754342507764684941,0,0,0,0,0,0
1754342507783625329,0,0,0,0,0,0
1754342507805766757,0,0,0,0,0,0
1754342507830708040,0,0,0,0,0,0
1754342507855622433,0,0,0,0,0,0
1754342507880791809,0,0,0,0,0,0
1754342507905611073,0,0,0,0,0,0
1754342507930753059,0,0,0,0,0,0
1754342507955766268,0,0,0,0,0,0
1754342507980753847,0,0,0,0,0,0
1754342508005817481,0,0,0,0,0,0
1754342508030748116,0,0,0,0,0,0
1754342508055690010,0,0,0,0,0,0
1754342508080768885,0,0,0,0,0,0
1754342508105720131,0,0,0,0,0,0
1754342508130637006,0,0,0,0,0,0
1754342508155878918,0,0,0,0,0,0
1754342508180770423,0,0,0,0,0,0
1754342508205657150,0,0,0,0,0,0
1754342508230744933,0,0,0,0,0,0
1754342508255763864,0,0,0,0,0,0
1754342508280696276,0,0,0,0,0,0
1754342508305778522,0,0,0,0,0,0
1754342508330672415,0,0,0,0,0,0
1754342508355727569,0,0,0,0,0,0
1754342508380667870,0,0,0,0,0,0
1754342508405783523,0,0,0,0,0,0
1754342508430766157,0,0,0,0,0,0
1754342508455599921,0,0,0,0,0,0
1754342508480818149,0,0,0,0,0,0
