timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_cmd_trq,motor_drv_mode
1754435419748937651,0,0,0,0,0,0,0
1754435419783924637,0,0,0,0,0,0,0
1754435419817349084,0,0,0,0,0,0,0
1754435419852400348,0,0,0,0,0,0,0
1754435419885795294,0,0,0,0,0,0,0
1754435419920785874,0,0,0,0,0,0,0
1754435419954130801,0,0,0,0,0,0,0
1754435419989123436,0,0,0,0,0,0,0
1754435420022606568,0,0,0,0,0,0,0
1754435420057683944,0,0,0,0,0,0,0
1754435420091616428,0,0,0,0,0,0,0
1754435420126638822,0,0,0,0,0,0,0
1754435420160032953,0,0,0,0,0,0,0
1754435420195017495,0,0,0,0,0,0,0
1754435420228488849,0,0,0,0,0,0,0
1754435420263545280,0,0,0,0,0,0,0
1754435420297044338,0,0,0,0,0,0,0
1754435420332014121,0,0,0,0,0,0,0
1754435420365415196,0,0,0,0,0,0,0
1754435420400353757,0,0,0,0,0,0,0
1754435420435528503,0,0,0,0,0,0,0
1754435420468970653,0,0,0,0,0,0,0
1754435420503929769,0,0,0,0,0,0,0
1754435420537340030,0,0,0,0,0,0,0
1754435420572387665,0,0,0,0,0,0,0
1754435420592054043,0,0,0,0,0,0,0
1754435420613321702,0,0,0,0,0,0,0
1754435420635055029,0,0,0,0,0,0,0
1754435420659970160,0,0,0,0,0,0,0
1754435420685076976,0,0,0,0,0,0,0
1754435420710034607,0,0,0,0,0,0,0
1754435420735016793,0,0,0,0,0,0,0
1754435420760028479,0,0,0,0,0,0,0
1754435420785047480,0,0,0,0,0,0,0
1754435420809979278,0,0,0,0,0,0,0
1754435420835095057,0,0,0,0,0,0,0
1754435420859969224,0,3.36523,-607.911,4.93429,0,0.5,10
1754435420884915484,1.84606,2.67773,-607.803,7.6888,0.475405,0.5,10
1754435420909964337,4.51232,3.9043,-607.568,4.05635,-0.113703,-0.5,10
1754435420935096580,4.59838,4.3418,-607.586,-2.64747,-0.371031,-0.5,10
1754435420960208803,4.68912,1.38867,-607.777,-4.82254,-0.466983,-0.5,10
1754435420985042174,4.69319,-0.955078,-607.885,-7.29564,-0.479763,-0.5,10
1754435421010053657,4.61114,-6.47852,-608.084,-5.51385,-0.350219,0.5,10
1754435421034965028,1.87263,-8.00391,-608.154,-2.39399,0.312489,0.5,10
1754435421059967881,2.0363,-7.39648,-608.144,0.668256,0.516723,0.5,10
1754435421085067975,2.19795,-5.35547,-608.122,1.81241,0.352203,0.488169,10
1754435421110052735,2.29377,-4.45312,-608.065,2.04921,0.325127,0.444001,10
1754435421135015106,2.412,-2.01758,-608.007,2.60979,0.494961,0.395419,10
1754435421160121422,2.44831,-0.697266,-607.872,3.15041,0.352203,0.38674,10
1754435421185024571,2.4388,0.939453,-607.789,6.09915,0.348196,0.401607,10
1754435421210032924,2.41826,3.75586,-607.604,3.74792,0.394249,0.420093,10
1754435421236913522,2.29696,5.38477,-607.531,5.07261,0.393244,0.5,10
1754435421260257686,2.18957,6.2207,-607.407,7.35733,0.358124,0.5,10
1754435421285016816,2.03321,7.37695,-607.123,8.4125,0.444942,0.5,10
1754435421310045076,1.80906,8.18945,-607.123,8.4125,0.444942,0.5,10
1754435421334933206,1.59026,9.18555,-607.123,8.4125,0.444942,0.5,10
1754435421359960578,4.90301,9.76953,-607.123,8.4125,0.444942,0.5,10
1754435421384991375,5.16315,9.68164,-606.145,5.16705,-0.299543,-0.5,10
1754435421410009358,5.35872,7.45312,-606.145,5.16705,-0.299543,-0.5,10
1754435421434986136,5.49956,4.6875,-606.145,5.16705,-0.299543,-0.5,10
1754435421459947100,5.5316,-0.935547,-606.145,5.16705,-0.299543,-0.5,10
1754435421484924805,5.44892,-3.38672,-606.144,-5.52162,-0.365532,-0.5,10
1754435421509990732,5.32797,-5.86328,-606.144,-5.52162,-0.365532,-0.5,10
1754435421535059159,5.19568,-8.56641,-606.144,-5.52162,-0.365532,-0.5,10
1754435421559949956,4.88403,-11.6016,-606.144,-5.52162,-0.365532,-0.5,10
1754435421584969661,4.50561,-14.5918,-607.246,-16.3987,-0.434281,-0.5,10
1754435421610030347,2.13471,-16.8965,-607.246,-16.3987,-0.434281,-0.5,10
1754435421634980644,2.5592,-17.1211,-607.246,-16.3987,-0.434281,-0.5,10
