timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode
1755032172242245392,0,0,0,0,0,0,0
1755032172267000179,0,0,0,0,0,0,0
1755032172292076466,0,0,0,0,0,0,0
1755032172317458773,0,0,0,0,0,0,0
1755032172342978377,0,0,0,0,0,0,0
1755032172367092328,0,0,0,0,0,0,0
1755032172392270561,0,0,0,0,0,0,0
1755032172417116940,0,0,0,0,0,0,0
1755032172442124801,0,0,0,0,0,0,0
1755032172467223441,0,0,0,0,0,0,0
1755032172492099302,0,0,0,0,0,0,0
1755032172517149200,0,0,0,0,0,0,0
1755032172542950267,0,0,0,0,0,0,0
1755032172569974930,0,0,0,0,0,0,0
1755032172592316914,0,0,0,0,0,0,0
1755032172617082368,0,0,0,0,0,0,0
1755032172642044285,0,0,0,0,0,0,0
1755032172667217498,0,0,0,0,0,0,0
1755032172692030304,0,0,0,0,0,0,0
1755032172717312092,0,0,0,0,0,0,0
1755032172742144582,0,0,0,0,0,0,0
1755032172767121517,0,0,0,0,0,0,0
1755032172792172360,0,0,0,0,0,0,0
1755032172817062314,0,0,0,0,0,0,0
1755032172842378084,0,0,0,0,0,0,0
1755032172867301297,0,0,0,0,0,0,0
1755032172892444584,0,0,0,0,0,0,0
1755032172917305668,0,0,0,0,0,0,0
1755032172942082880,0,0,0,0,0,0,0
1755032172967107519,0,0,0,0,0,0,0
1755032172992112807,0,0,0,0,0,0,0
1755032173017117483,0,0,0,0,0,0,0
1755032173042077177,0,0,0,0,0,0,0
1755032173067049613,0,0,0,0,0,0,0
1755032173092086067,0,0,0,0,0,0,0
1755032173117226484,0,0,0,0,0,0,0
1755032173142685402,0,0,0,0,0,0,0
1755032173167984487,0,0,0,0,0,0,0
1755032173192358550,0,0,0,0,0,0,0
1755032173217183781,0,0,0,0,0,0,0
1755032173242310236,0,0,0,0,0,0,0
1755032173267211208,0,0,0,0,0,0,0
1755032173292147384,0,0,0,0,0,0,0
1755032173317321116,0,0,0,0,0,0,0
1755032173342779071,0,0.00390625,0,0,0,0,0
1755032173367406913,3.19491,-0.00195312,0,0,0,0,0
1755032173392191033,3.19491,0.00390625,0,0,0,0,0
1755032173417213931,3.19491,-0.00585938,0,0,0,0,0
1755032173442445090,3.19486,0,0,0,0,0,0
1755032173467143784,3.19486,0,0,0,0,0,0
1755032173492316368,3.19494,0.00390625,0,0,0,0,0
1755032173517216729,3.19486,0.00195312,0,0,0,0,0
1755032173542261109,3.1949,0.00195312,0,0,0,0,0
1755032173567273470,3.19501,-0.00390625,0,0,0,0,0
1755032173592138294,3.19501,0.00195312,0,0,0,0,0
1755032173617247748,3.19509,0,0,0,0,0,0
1755032173642251887,3.19516,0.00195312,0,0,0,0,0
1755032173667090285,3.19524,-0.00195312,0,0,0,0,0
1755032173692281295,3.19524,-0.00390625,0,0,0,0,0
1755032173717435898,3.19524,-0.00195312,0,0,0,0,0
1755032173742221388,3.19528,-0.00390625,0,0,0,0,0
1755032173767313787,3.19536,0.00195312,0,0,0,0,0
1755032173792410130,3.19532,-0.00195312,0,0,0,0,0
1755032173817230546,3.1954,0,0,0,0,0,0
1755032173842089426,3.19544,0.00195312,0,0,0,0,0
1755032173867145824,3.19547,0,0,0,0,0,0
