timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_drv_mode
1754342352399148404,0.00733831,0,0,0,0,0
1754342352399912571,0.00733831,0,0,0,0,0
1754342352400109849,0.00733234,0,0,0,0,0
1754342352400229868,0.00733234,0,0,0,0,0
1754342352400320331,0.00814701,0,0,0,0,0
1754342352400429701,0.00814701,0,0,0,0,0
1754342352400479905,0.00814701,0,0,0,0,0
1754342352400522238,0.00814701,0,0,0,0,0
1754342352400562887,0.00815365,0,0,0,0,0
1754342352400603127,0.00815365,0,0,0,0,0
1754342352405074798,0.00814701,0,0,0,0,0
1754342352429945450,0.00814701,0,0,0,0,0
1754342352454890158,0.00814701,0,0,0,0,0
1754342352479807829,0.00733218,0,0,0,0,0
1754342352506136205,0.00733218,0,0,0,0,0
1754342352531750524,0.00733218,0,0,0,0,0
1754342352555805527,0.00733218,0,0,0,0,0
1754342352582687607,0.00733234,0,0,0,0,0
1754342352605208369,0.00733234,0,0,0,0,0
1754342352630138632,0.00733234,0,0,0,0,0
1754342352657529286,0.00733831,0,0,0,0,0
1754342352681306197,0.00733831,0,0,0,0,0
1754342352705314126,0.00733816,0,0,0,0,0
1754342352730237501,0.00733218,0,0,0,0,0
1754342352755207505,0.00733218,0,0,0,0,0
1754342352780184342,0.00733218,0,0,0,0,0
1754342352806431533,0.00733218,0,0,0,0,0
1754342352830007165,0.00733218,0,0,0,0,0
1754342352854783799,0.00733218,0,0,0,0,0
1754342352879879859,0.00733218,0,0,0,0,0
1754342352904862659,0.00733218,0,0,0,0,0
1754342352930551664,0.00733218,0,0,0,0,0
1754342352955093093,0.00733218,0,0,0,0,0
1754342352980146820,0.00733218,0,0,0,0,0
1754342353005031861,0.00733218,0,0,0,0,0
1754342353030047365,0.00733218,0,0,0,0,0
1754342353055094777,0.00733218,0,0,0,0,0
1754342353079952484,0.00733799,0,0,0,0,0
1754342353104939618,0.00733799,0,0,0,0,0
1754342353130184937,0.00733799,0,0,0,0,0
1754342353155058182,0.00733816,0,0,0,0,0
1754342353179921483,0.00733816,0,0,0,0,0
1754342353205080820,0.00733816,0,0,0,0,0
1754342353229985621,0.00733816,0,0,0,0,0
1754342353254981106,0.00733816,0,0,0,0,0
1754342353279840073,0.00733816,0,0,0,0,0
1754342353304910318,0.00733816,0,0,0,0,0
1754342353329907045,0.00733816,0,0,0,0,0
1754342353354877086,0.00733816,0,0,0,0,0
1754342353379881349,0.00733218,0,0,0,0,0
1754342353404869816,0.00733218,0,0,0,0,0
1754342353429985061,0.00733218,0,0,0,0,0
1754342353454924103,0.00733218,0,0,0,0,0
1754342353479814421,0.00733218,0,0,0,0,0
1754342353504878759,0.00733218,0,0,0,0,0
1754342353529850578,0.00733218,0,0,0,0,0
1754342353554809619,0.00733218,0,0,0,0,0
1754342353579970105,0.00733218,0,0,0,0,0
1754342353604775257,0.00733218,0,0,0,0,0
1754342353629895465,0.00733218,0,0,0,0,0
1754342353654922191,0.00733234,0,0,0,0,0
1754342353679882418,0.00733234,0,0,0,0,0
1754342353704918718,0.00733234,0,0,0,0,0
1754342353729985445,0.00733234,0,0,0,0,0
1754342353754801708,0.00733234,0,0,0,0,0
1754342353780235657,0.00733234,0,0,0,0,0
1754342353805545217,0.00733234,0,0,0,0,0
1754342353830003424,0.00733234,0,0,0,0,0
1754342353854998003,0.00733234,0,0,0,0,0
1754342353880174896,0.00733234,0,0,0,0,0
1754342353904865122,0.00733218,0,0,0,0,0
1754342353929846496,0.00733218,0,0,0,0,0
1754342353954907667,0.00733218,0,0,0,0,0
1754342353979888560,0.00733218,0,0,0,0,0
1754342354011605626,0.00733218,0,0,0,0,0
1754342354030212736,0.00733218,0,0,0,0,0
1754342354054774017,0.00733218,0,0,0,0,0
1754342354079986281,0.00733218,0,0,0,0,0
1754342354104886489,0.00733218,0,0,0,0,0
1754342354129940789,0.00733218,0,0,0,0,0
1754342354154935460,0.00733218,0,0,0,0,0
1754342354179927112,0.00733218,0,0,0,0,0
1754342354204919153,0.00733218,0,0,0,0,0
1754342354229854028,0.00733218,0,0,0,0,0
1754342354254926143,0.00733218,0,0,0,0,0
1754342354279948814,0.00733816,0,0,0,0,0
1754342354304906503,0.00733816,0,0,0,0,0
1754342354329841582,0.00733816,0,0,0,0,0
1754342354354949197,0.00815347,0,0,0,0,0
1754342354379923701,0.00815347,0,0,0,0,0
1754342354404916465,0.00733816,0,0,0,0,0
1754342354429982321,0.00733816,0,0,0,0,0
1754342354455030325,0.00733816,0,0,0,0,0
1754342354480155940,0.00733816,0,0,0,0,0
1754342354504961907,0.00733218,0,0,0,0,0
1754342354529836374,0.00733218,0,0,0,0,0
1754342354554799304,0.00733218,0,0,0,0,0
1754342354579848253,0.00733218,0,0,0,0,0
1754342354604997276,0.00733218,0,0,0,0,0
1754342354629895613,0.00733218,0,0,0,0,0
1754342354654869821,0.00733218,0,0,0,0,0
1754342354679783529,0.00733218,0,0,0,0,0
1754342354704842478,0.00733218,0,0,0,0,0
1754342354729930334,0.00733218,0,0,0,0,0
1754342354754884060,0.00733218,0,0,0,0,0
1754342354779847990,0.00733218,0,0,0,0,0
1754342354805175124,0.00733218,0,0,0,0,0
1754342354829803517,0.00733218,0,0,0,0,0
1754342354854830391,0.00733218,0,0,0,0,0
1754342354879984322,0.00733218,0,0,0,0,0
1754342354904854715,0.00733831,0,0,0,0,0
1754342354930023404,0.00733831,0,0,0,0,0
1754342354955019038,0.00733831,0,0,0,0,0
1754342354979984135,0.00733831,0,0,0,0,0
