timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_cmd_trq,motor_drv_mode
1754518420376009599,0,0,0,0,0,0,0
1754518420406880527,0,0,0,0,0,0,0
1754518420439863773,0,0,0,0,0,0,0
1754518420470792054,0,0,0,0,0,0,0
1754518420503371299,0,0,0,0,0,0,0
1754518420534548061,0,0,0,0,0,0,0
1754518420569672903,0,0,0,0,0,0,0
1754518420602573797,0,0,0,0,0,0,0
1754518420636006506,0,0,0,0,0,0,0
1754518420666685027,0,0,0,0,0,0,0
1754518420699224588,0,0,0,0,0,0,0
1754518420731694518,0,0,0,0,0,0,0
1754518420763079633,0,0,0,0,0,0,0
1754518420795667397,0,0,0,0,0,0,0
1754518420826445269,0,0,0,0,0,0,0
1754518420858813830,0,0,0,0,0,0,0
1754518420889458313,0,0,0,0,0,0,0
1754518420921637299,0,0,0,0,0,0,0
1754518420952455728,0,0,0,0,0,0,0
1754518420985668603,0,0,0,0,0,0,0
1754518421016243772,0,0,0,0,0,0,0
1754518421048424462,0,0,0,0,0,0,0
1754518421079138260,0,0,0,0,0,0,0
1754518421111840876,0,0,0,0,0,0,0
1754518421142220064,0,0,0,0,0,0,0
1754518421174582290,0,0,0,0,0,0,0
1754518421207259758,0,0,0,0,0,0,0
1754518421227027135,0,0,0,0,0,0,0
1754518421248301089,0,0,0,0,0,0,0
1754518421268037762,0,0,0,0,0,0,0
1754518421289295974,0,0,0,0,0,0,0
1754518421314765729,0,0,0,0,0,0,0
1754518421339809410,0,0,0,0,0,0,0
1754518421364757016,0,0,0,0,0,0,0
1754518421389786992,0,0,0,0,0,0,0
1754518421414750672,0,0,0,0,0,0,0
1754518421439807408,0,0,0,0,0,0,0
1754518421464823755,0,0.00390625,0,0,0,0,0
1754518421489698065,6.25606,0.00195312,0,0,0,0,0
1754518421514660486,6.25611,0.00195312,0,0,0,0,0
1754518421539708444,6.25615,0.00390625,0,0,0,0,0
1754518421564633457,6.25623,0,0,0,0,0,0
1754518421589921230,6.25642,0.00195312,0,0,0,0,0
1754518421614714021,6.25642,0.00390625,0,0,0,0,0
1754518421639744313,6.25661,0,0,0,0,0,0
1754518421664718937,6.25661,0.00195312,0,0,0,0,0
1754518421689779081,6.25661,0.00195312,0,0,0,0,0
1754518421714731761,6.25673,0,0,0,0,0,0
1754518421739713293,6.25666,0.0078125,0,0,0,0,0
1754518421764632251,6.25685,0.00195312,0,0,0,0,0
1754518421789802135,6.25685,0.00585938,0,0,0,0,0
1754518421814800741,6.25697,0.00195312,0,0,0,0,0
1754518421837836196,6.25697,0,0,0,0,0,0
1754518421864650527,6.25716,-0.00195312,0,0,0,0,0
1754518421889743874,6.25716,0.00195312,0,0,0,0,0
1754518421914719036,6.25723,0.00390625,0,0,0,0,0
1754518421939781216,6.25723,0.00195312,0,0,0,0,0
1754518421964807878,6.25735,-0.00195312,0,0,0,0,0
1754518421989785539,6.25735,0.00195312,0,0,0,0,0
1754518422014828368,6.25735,0,0,0,0,0,0
1754518422037810453,6.25742,0.00195312,0,0,0,0,0
1754518422064668765,6.25759,0.00195312,0,0,0,0,0
1754518422089891223,6.25759,0.00976562,0,0,0,0,0
1754518422114734829,6.25778,0,0,0,0,0,0
1754518422139695695,6.25778,0.00390625,0,0,0,0,0
1754518422164817097,6.25809,0.0078125,0,0,0,0,0
1754518422189766999,6.25809,0.0078125,0,0,0,0,0
1754518422216380089,6.25826,0.00390625,0,0,0,0,0
1754518422238226339,6.25833,0.00390625,0,0,0,0,0
1754518422264611299,6.25838,0.00976562,0,0,0,0,0
1754518422289708479,6.2585,0,0,0,0,0,0
1754518422314678030,6.25857,0.0078125,0,0,0,0,0
1754518422339604025,6.25862,0,0,0,0,0,0
1754518422364690224,6.25874,0.00390625,0,0,0,0,0
1754518422389661515,6.25874,0.0117188,0,0,0,0,0
1754518422414660769,6.25886,0.00195312,0,0,0,0,0
1754518422439736060,6.25898,0,0,0,0,0,0
1754518422464632907,6.2591,0,0,0,0,0,0
1754518422489678124,6.2591,0,0,0,0,0,0
1754518422514661194,6.2591,0,0,0,0,0,0
1754518422539638874,6.2591,0,0,0,0,0,0
1754518422564576017,6.2591,0,0,0,0,0,0
1754518422589651012,6.2591,0,0,0,0,0,0
1754518422614706877,6.2591,0,0,0,0,0,0
1754518422639720780,6.2591,0,0,0,0,0,0
1754518422664628515,6.2591,0,0,0,0,0,0
1754518422689602436,6.2591,0,0,0,0,0,0
1754518422714628431,6.2591,0,0,0,0,0,0
1754518422739682334,6.2591,0,0,0,0,0,0
1754518422764610866,6.2591,0,0,0,0,0,0
1754518422793629681,6.2591,0,0,0,0,0,0
1754518422813275817,6.2591,0,0,0,0,0,0
1754518422839650147,6.2591,0,0,0,0,0,0
1754518422864687235,6.2591,0,0,0,0,0,0
1754518422889643674,6.2591,0,0,0,0,0,0
1754518422914737336,6.2591,0,0,0,0,0,0
1754518422939612145,6.2591,0,0,0,0,0,0
1754518422964719881,6.2591,0,0,0,0,0,0
1754518422989699432,6.2591,0,0,0,0,0,0
1754518423014736242,6.2591,0,0,0,0,0,0
1754518423039764866,6.2591,0,0,0,0,0,0
1754518423064832232,6.2591,0,0,0,0,0,0
