timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_drv_mode
1754337630145671784,0.022712,0,0,0,0,0
1754337630170452843,0.0219011,0,0,0,0,0
1754337630195506495,0.0219011,0,0,0,0,0
1754337630220640796,0.0219011,0,0,0,0,0
1754337630245403337,0.0219011,0,0,0,0,0
1754337630270302026,0.0219011,0,0,0,0,0
1754337630295214141,0.0219011,0,0,0,0,0
1754337630320190497,0.0219011,0,0,0,0,0
1754337630345202390,0.0219011,0,0,0,0,0
1754337630370322339,0.0219011,0,0,0,0,0
1754337630395245936,0.0219011,0,0,0,0,0
1754337630420350014,0.0219011,0,0,0,0,0
1754337630445919241,0.0219011,0,0,0,0,0
1754337630470306893,0.0219011,0,0,0,0,0
1754337630495432508,0.0219011,0,0,0,0,0
1754337630520233586,0.0219011,0,0,0,0,0
1754337630545381146,0.0219011,0,0,0,0,0
1754337630570214390,0.0219011,0,0,0,0,0
1754337630595344524,0.0219011,0,0,0,0,0
1754337630620848677,0.0219011,0,0,0,0,0
1754337630645621607,0.0219011,0,0,0,0,0
1754337630670266963,0.0219011,0,0,0,0,0
1754337630695274152,0.0219011,0,0,0,0,0
1754337630720172045,0.0219011,0,0,0,0,0
1754337630745241068,0.0219011,0,0,0,0,0
1754337630770140275,0.0219011,0,0,0,0,0
1754337630795227131,0.0219011,0,0,0,0,0
1754337630820260228,0.0219011,0,0,0,0,0
1754337630845177584,0.0219011,0,0,0,0,0
1754337630870280385,0.0219011,0,0,0,0,0
1754337630895126055,0.0219017,0,0,0,0,0
1754337630920189189,0.0219017,0,0,0,0,0
1754337630945222434,0.0219017,0,0,0,0,0
1754337630970196586,0.0219017,0,0,0,0,0
1754337630995182535,0.0219017,0,0,0,0,0
1754337631020317798,0.0219017,0,0,0,0,0
1754337631045242988,0.0219017,0,0,0,0,0
1754337631070163436,0.0219017,0,0,0,0,0
1754337631095249996,0.0219017,0,0,0,0,0
1754337631120261055,0.0219017,0,0,0,0,0
1754337631145198819,0.0219017,0,0,0,0,0
1754337631170289212,0.0219011,0,0,0,0,0
1754337631195132753,0.0219011,0,0,0,0,0
1754337631220203572,0.0219011,0,0,0,0,0
1754337631245195632,0.0219011,0,0,0,0,0
1754337631270213839,0.0219011,0,0,0,0,0
1754337631295166473,0.0219011,0,0,0,0,0
1754337631320315089,0.0219011,0,0,0,0,0
1754337631345141203,0.0219011,0,0,0,0,0
1754337631370216023,0.0219011,0,0,0,0,0
1754337631395228008,0.0219011,0,0,0,0,0
1754337631420165568,0.0219011,0,0,0,0,0
1754337631445171035,0.0219011,0,0,0,0,0
1754337631470368465,0.0219011,0,0,0,0,0
1754337631495251062,0.0219011,0,0,0,0,0
1754337631520190862,0.0219011,0,0,0,0,0
1754337631545256126,0.0219011,0,0,0,0,0
1754337631570170518,0.0219011,0,0,0,0,0
1754337631595217337,0.0219011,0,0,0,0,0
1754337631620196712,0.0219011,0,0,0,0,0
