timestamp,IMU_pitch,IMU_pitch_rate,motor_pos,motor_vel,motor_trq,motor_cmd_trq,motor_drv_mode
1754603971365369058,0,0,0,0,0,0,0
1754603971390080340,0,0,0,0,0,0,0
1754603971415195994,0,0,0,0,0,0,0
1754603971440158332,0,0,0,0,0,0,0
1754603971465133819,0,0,0,0,0,0,0
1754603971490248046,0,0,0,0,0,0,0
1754603971515104070,0,0,0,0,0,0,0
1754603971540177001,0,0,0,0,0,0,0
1754603971565184303,0,0,0,0,0,0,0
1754603971590072048,0,0,0,0,0,0,0
1754603971615134924,0,0,0,0,0,0,0
1754603971640279559,0,0,0,0,0,0,0
1754603971665945270,0,0,0,0,0,0,0
1754603971692310834,0,0,0,0,0,0,0
1754603971715297167,0,0,0,0,0,0,0
1754603971740102802,0,0,0,0,0,0,0
1754603971765162511,0,0,0,0,0,0,0
1754603971790475535,0,0,0,0,0,0,0
1754603971815648763,0,0,0,0,0,0,0
1754603971840173638,0,0,0,0,0,0,0
1754603971865501588,0,0,0,0,0,0,0
1754603971890182889,0,0,0,0,0,0,0
1754603971915198357,0,0,0,0,0,0,0
1754603971940101955,0,0,0,0,0,0,0
1754603971965134775,0,0,0,0,0,0,0
1754603971990157113,0,0,0,0,0,0,0
1754603972015200100,0,0,0,0,0,0,0
1754603972040334920,0,0,0,0,0,0,0
1754603972065267111,0,0,0,0,0,0,0
1754603972090283875,0,0,0,0,0,0,0
1754603972115329010,0,0,0,0,0,0,0
1754603972140332645,0,0,0,0,0,0,0
1754603972165224835,0,0,0,0,0,0,0
1754603972190661100,0,0,0,0,0,0,0
1754603972215191419,0,0,0,0,0,0,0
1754603972240251202,0,0,0,0,0,0,0
1754603972265388503,0,0,0,0,0,0,0
1754603972291237455,0,0,0,0,0,0,0
1754603972315277106,0,0,0,0,0,0,0
1754603972340353926,0,0,0,0,0,0,0
1754603972365526950,0,0,0,0,0,0,0
1754603972390232917,0,0,0,0,0,0,0
1754603972415331219,0,0,0,0,0,0,0
1754603972440261965,0,0,0,0,0,0,0
1754603972465311470,0,0.00195312,0,0,0,0,0
1754603972490268864,3.05108,0,0,0,0,0,0
1754603972515603907,3.05102,0,0,0,0,0,0
1754603972540373282,3.05102,0.00195312,0,0,0,0,0
1754603972565235083,3.05114,0,0,0,0,0,0
1754603972590325977,3.05107,0,0,0,0,0,0
1754603972615304630,3.05108,0,0,0,0,0,0
1754603972640261543,3.05114,0,0,0,0,0,0
1754603972665436474,3.05108,0.00195312,0,0,0,0,0
1754603972690234238,3.05114,-0.00390625,0,0,0,0,0
1754603972715357484,3.0512,0.00195312,0,0,0,0,0
1754603972740398360,3.05108,-0.00195312,0,0,0,0,0
1754603972765229901,3.05114,-0.00585938,0,0,0,0,0
1754603972790260999,3.05108,0.00195312,0,0,0,0,0
1754603972815353208,3.05108,0,0,0,0,0,0
1754603972840278861,3.05102,-0.00390625,0,0,0,0,0
1754603972865348570,3.05108,0,0,0,0,0,0
1754603972890385353,3.05108,0.00195312,0,0,0,0,0
1754603972915314914,3.05107,-0.00390625,0,0,0,0,0
1754603972940294789,3.05101,-0.00195312,0,0,0,0,0
