timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,motor_drv_mode
1755031927213858601,0,0,0,0,0,0,0
1755031927238696961,0,0,0,0,0,0,0
1755031927263913434,0,0,0,0,0,0,0
1755031927289206573,0,0,0,0,0,0,0
1755031927314208342,0,0,0,0,0,0,0
1755031927339566833,0,0,0,0,0,0,0
1755031927363804470,0,0,0,0,0,0,0
1755031927388779312,0,0,0,0,0,0,0
1755031927413863581,0,0,0,0,0,0,0
1755031927438697312,0,0,0,0,0,0,0
1755031927463845173,0,0,0,0,0,0,0
1755031927488915942,0,0,0,0,0,0,0
1755031927513719765,0,0,0,0,0,0,0
1755031927538800126,0,0,0,0,0,0,0
1755031927564080006,0,0,0,0,0,0,0
1755031927588810144,0,0,0,0,0,0,0
1755031927613912783,0,0,0,0,0,0,0
1755031927638811200,0,0,0,0,0,0,0
1755031927664005580,0,0,0,0,0,0,0
1755031927688925014,0,0,0,0,0,0,0
1755031927713780116,0,0,0,0,0,0,0
1755031927739200367,0,0,0,0,0,0,0
1755031927764002375,0,0,0,0,0,0,0
1755031927788933329,0,0,0,0,0,0,0
1755031927813919875,0,0,0,0,0,0,0
1755031927838922717,0,0,0,0,0,0,0
1755031927863923041,0,0,0,0,0,0,0
1755031927888802217,0,0,0,0,0,0,0
1755031927913818337,0,0,0,0,0,0,0
1755031927938786272,0,0,0,0,0,0,0
1755031927963861337,0,0,0,0,0,0,0
1755031927988970716,0,0,0,0,0,0,0
1755031928013813299,0,0,0,0,0,0,0
1755031928038882123,0,0,0,0,0,0,0
1755031928063871614,0,0,0,0,0,0,0
1755031928088821141,0,0,0,0,0,0,0
1755031928113935873,0,0,0,0,0,0,0
1755031928138824474,0,0,0,0,0,0,0
1755031928163892687,0,0,0,0,0,0,0
1755031928188848900,0,0,0,0,0,0,0
1755031928213933058,0,0,0,0,0,0,0
1755031928238781937,0,0,0,0,0,0,0
1755031928263921798,0,0,0,0,0,0,0
1755031928288854474,0,0,0,0,0,0,0
1755031928313827353,0,-0.00195312,0,0,0,0,0
1755031928338810732,3.15637,0.00585938,0,0,0,0,0
1755031928364090483,3.15637,0,0,0,0,0,0
1755031928388982640,3.15637,-0.00195312,0,0,0,0,0
1755031928413760611,3.15637,0,0,0,0,0,0
1755031928439001343,3.15637,0.00390625,0,0,0,0,0
1755031928463988371,3.15645,0.00390625,0,0,0,0,0
1755031928488724620,3.15642,0,0,0,0,0,0
1755031928514020500,3.15639,-0.00195312,0,0,0,0,0
1755031928538930176,3.15631,-0.00390625,0,0,0,0,0
1755031928563855055,3.15639,0.00390625,0,0,0,0,0
1755031928588804786,3.15639,-0.00195312,0,0,0,0,0
1755031928613849314,3.15647,0.00585938,0,0,0,0,0
1755031928638768416,3.15651,0,0,0,0,0,0
1755031928664620871,3.15651,0.00390625,0,0,0,0,0
1755031928688844082,3.15659,0.00390625,0,0,0,0,0
1755031928713808091,3.15659,0,0,0,0,0,0
1755031928738907526,3.15674,0.00390625,0,0,0,0,0
1755031928764361852,3.15667,0.00390625,0,0,0,0,0
1755031928788808081,3.15667,0,0,0,0,0,0
1755031928813866443,3.15669,-0.00390625,0,0,0,0,0
1755031928838824063,3.15667,0.00585938,0,0,0,0,0
1755031928863850942,3.15667,-0.00390625,0,0,0,0,0
1755031928888849581,3.15659,-0.00390625,0,0,0,0,0
1755031928913844849,3.15661,0.00195312,0,0,0,0,0
1755031928938859803,3.15661,0,0,0,0,0,0
1755031928964036738,3.15667,-0.00195312,0,0,0,0,0
1755031928988828580,3.15659,0,0,0,0,0,0
1755031929013840589,3.15661,-0.0078125,0,0,0,0,0
1755031929038749061,3.15666,0.00390625,0,0,0,0,0
1755031929063842922,3.15674,0.00195312,0,0,0,0,0
1755031929088857339,3.15674,0.00195312,0,0,0,0,0
1755031929113808570,3.15667,0,0,0,0,0,0
1755031929138805413,3.15674,0.00390625,0,0,0,0,0
1755031929163881552,3.15674,0,0,0,0,0,0
1755031929188819579,3.15674,-0.00195312,0,0,0,0,0
1755031929213741699,3.15667,0,0,0,0,0,0
1755031929238831042,3.15685,0.00195312,0,0,0,0,0
1755031929263844310,3.15685,0.00390625,0,0,0,0,0
1755031929288746875,3.15683,0.00390625,0,0,0,0,0
1755031929313844773,3.15674,0,0,0,0,0,0
1755031929341187529,3.15674,-0.00195312,0,0,0,0,0
1755031929364120607,3.15683,-0.00390625,0,0,0,0,0
1755031929388825300,3.15674,0.00195312,0,0,0,0,0
1755031929413778476,3.15678,-0.00195312,0,0,0,0,0
1755031929438873170,3.1567,0.00585938,0,0,0,0,0
1755031929463889883,3.15681,0,0,0,0,0,0
1755031929488798911,3.15676,0.00390625,0,0,0,0,0
1755031929513814994,3.15687,0.00390625,0,0,0,0,0
1755031929538791132,3.15695,-0.00390625,0,0,0,0,0
1755031929563835623,3.15703,0.00195312,0,0,0,0,0
1755031929588850595,3.15703,-0.00195312,0,0,0,0,0
1755031929613795363,3.15703,-0.00195312,0,0,0,0,0
1755031929638776076,3.15703,0.00195312,0,0,0,0,0
1755031929663807993,3.15711,0.00195312,0,0,0,0,0
1755031929688753243,3.15719,0.00195312,0,0,0,0,0
1755031929714128049,3.15719,-0.00195312,0,0,0,0,0
1755031929738979761,3.15711,0,0,0,0,0,0
1755031929764296438,3.15722,0.00390625,0,0,0,0,0
1755031929788796205,3.1573,0.00390625,0,0,0,0,0
1755031929813876048,3.1573,-0.00195312,0,0,0,0,0
1755031929838762816,3.1573,0,0,0,0,0,0
1755031929863831047,3.1573,0,0,0,0,0,0
1755031929888836649,3.15727,0,0,0,0,0,0
1755031929913761991,3.15732,0.00195312,0,0,0,0,0
1755031929938932945,3.15732,0.00195312,0,0,0,0,0
1755031929964058103,3.15724,0,0,0,0,0,0
1755031929988797889,3.15724,0,0,0,0,0,0
1755031930013807435,3.15724,0,0,0,0,0,0
1755031930038801889,3.15724,0,0,0,0,0,0
1755031930063782416,3.15724,0,0,0,0,0,0
1755031930088877074,3.15724,0,0,0,0,0,0
1755031930113796083,3.15724,0,0,0,0,0,0
1755031930138699703,3.15724,0,-0.170951,-0.000416469,-1.18474,-4.7924,10
1755031930164011027,3.15724,0,-0.200145,-3.01642,-1.88249,-4.78351,10
1755031930188942073,3.1565,-0.632812,-0.289227,-2.09435,-2.69901,-4.45546,10
1755031930214067824,3.13311,-3.35156,0.224062,-0.892559,-2.25158,-3.28262,10
1755031930239459315,3.02068,-5.04688,0.19453,-3.38442,-2.73602,-2.84374,10
1755031930263727508,2.90183,-6.39844,0.0392186,-1.93834,-2.692,-2.35182,10
1755031930288787832,2.68103,-7.55469,0.0591308,-2.01826,-1.74472,-1.24898,10
1755031930313764267,2.57022,-8.42578,-0.0225824,-1.53251,-1.30218,-0.85838,10
1755031930338697553,2.28517,-8.26953,-0.0254067,-0.947061,-1.12037,-0.488574,10
1755031930363933989,2.11979,-7.90234,-0.0824102,-0.183274,-0.573378,-0.294624,10
1755031930388864887,1.91517,-6.94531,-0.0236162,0.299986,-0.347943,-0.0624402,10
1755031930413751210,1.71521,-5.48438,-0.0635608,-0.093677,-0.120914,-0.304808,10
