timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,mot_pos,mot_vel
1761610887160062742,0,0,0,0,0,0,0,0,0
1761610887172638971,0,0,0,0,0,0,0,0,0
1761610887185821107,0,0,0,0,0,0,0,0,0
1761610887198724762,0,0,0,0,0,0,0,0,0
1761610887211632676,0,0,0,0,0,0,0,0,0
1761610887225797757,0,0,0,0,0,0,0,0,0
1761610887238678190,0,0,0,0,0,0,0,0,0
1761610887251598363,0,0,0,0,0,0,0,0,0
1761610887265607444,0,0,0,0,0,0,0,0,0
1761610887278496099,0,0,0,0,0,0,0,0,0
1761610887291479365,0,0,0,0,0,0,0,0,0
1761610887304295112,0,0,0,0,0,0,0,0,0
1761610887318497268,0,0,0,0,0,0,0,0,0
1761610887331391478,0,0,0,0,0,0,0,0,0
1761610887344357874,0,0,0,0,0,0,0,0,0
1761610887357108362,0,0,0,0,0,0,0,0,0
1761610887371229795,0,0,0,0,0,0,0,0,0
1761610887384773524,0,0,0,0,0,0,0,0,0
1761610887397780049,0,0,0,0,0,0,0,0,0
1761610887410692352,0,0,0,0,0,0,0,0,0
1761610887424896360,0,0,0,0,0,0,0,0,0
1761610887437887885,0,0,0,0,0,0,0,0,0
1761610887450855151,0,0,0,0,0,0,0,0,0
1761610887464912195,0,0,0,0,0,0,0,0,0
1761610887477855831,0,0,0,0,0,0,0,0,0
1761610887490746671,0,0,0,0,0,0,0,0,0
1761610887503600789,0,0,0,0,0,0,0,0,0
1761610887517854870,0,0,0,0,0,0,0,0,0
1761610887530670896,0,0,0,0,0,0,0,0,0
1761610887543536310,0,0,0,0,0,0,0,0,0
1761610887556395390,0,0,0,0,0,0,0,0,0
1761610887570597398,0,0,0,0,0,0,0,0,0
1761610887584467812,0,0,0,0,0,0,0,0,0
1761610887597580245,0,0,0,0,0,0,0,0,0
1761610887610433733,0,0,0,0,0,0,0,0,0
1761610887624689777,0,0,0,0,0,0,0,0,0
1761610887637582154,0,0,0,0,0,0,0,0,0
1761610887650473346,0,0,0,0,0,0,0,0,0
1761610887664707279,0,0,0,0,0,0,0,0,0
1761610887677546934,0,0,0,0,0,0,0,0,0
1761610887690506404,0,0,0,0,0,0,0,0,0
1761610887703292503,0,0,0,0,0,0,0,0,0
1761610887717546010,0,0,0,0,0,0,0,0,0
1761610887730337184,0,0,0,0,0,0,0,0,0
1761610887743217098,0,0,0,0,0,0,0,0,0
1761610887756089660,0,0,0,0,0,0,0,0,0
1761610887770346037,0,0,0,0,0,0,0,0,0
1761610887783145526,0,0,0,0,0,0,0,0,0
1761610887796416292,0,0,0,0,0,0,0,0,0
1761610887809554650,0,0,0,0,0,0,0,0,0
1761610887823934195,0,0,0,0,0,0,0,0,0
1761610887836933683,0,0,0,0,0,0,0,0,0
1761610887850384542,0,0,0,0,0,0,0,0,0
1761610887864509604,0,0,0,0,0,0,0,0,0
1761610887877865259,0,0,0,0,0,0,0,0,0
1761610887891425989,0,0,0,0,0,0,0,0,0
1761610887904434551,0,0,0,0,0,0,0,0,0
1761610887918967947,0,0,0,0,0,0,0,0,0
1761610887932619528,0,0,0,0,0,0,0,0,0
1761610887945246776,0,0,0,0,0,0,0,0,0
1761610887958225949,0,0,0,0,0,0,0,0,0
1761610887972511382,0,0,0,0,0,0,0,0,0
1761610887985535111,0,0,0,0,0,0,0,0,0
1761610887998672581,0,0,0,0,0,0,0,0,0
1761610888011699162,0,0,0,0,0,0,0,0,0
1761610888026298280,0,0,0,0,0,0,0,0,0
1761610888038936120,0,0,0,0,0,0,0,0,0
1761610888052040294,0,0,0,0,0,0,0,0,0
