timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,mot_pos,mot_vel
1762195960840774994,0,0,0,0,0,0,0,0,0
1762195960853826128,0,0,0,0,0,0,0,0,0
1762195960866866319,0,0,0,0,0,0,0,0,0
1762195960880309565,0,0,0,0,0,0,0,0,0
1762195960893642274,0,0,0,0,0,0,0,0,0
1762195960908104631,0,0,0,0,0,0,0,0,0
1762195960921440618,0,0,0,0,0,0,0,0,0
1762195960934754623,0,0,0,0,0,0,0,0,0
1762195960949165611,0,0,0,0,0,0,0,0,0
1762195960962745375,0,0,0,0,0,0,0,0,0
1762195960976020695,0,0,0,0,0,0,0,0,0
1762195960988916645,0,0,0,0,0,0,0,0,0
1762195961003055151,0,0,0,0,0,0,0,0,0
1762195961015923730,0,0,0,0,0,0,0,0,0
1762195961028765753,0,0,0,0,0,0,0,0,0
1762195961041584833,0,0,0,0,0,0,0,0,0
1762195961055705209,0,0,0,0,0,0,0,0,0
1762195961068622491,0,0,0,0,0,0,0,0,0
1762195961081476200,0,0,0,0,0,0,0,0,0
1762195961095576706,0,0,0,0,0,0,0,0,0
1762195961108402470,0,0,0,0,0,0,0,0,0
1762195961121260883,0,0,0,0,0,0,0,0,0
1762195961134151555,0,0,0,0,0,0,0,0,0
1762195961148309245,0,0,0,0,0,0,0,0,0
1762195961161294306,0,0,0,0,0,0,0,0,0
1762195961174171515,0,0,0,0,0,0,0,0,0
1762195961187056761,0,0,0,0,0,0,0,0,0
1762195961201179914,0,0,0,0,0,0,0,0,0
1762195961214226994,0,0,0,0,0,0,0,0,0
1762195961227072591,0,0,0,0,0,0,0,0,0
1762195961239905560,0,0,0,0,0,0,0,0,0
1762195961253998324,0,0,0,0,0,0,0,0,0
1762195961267328256,0,0,0,0,0,0,0,0,0
1762195961280206427,0,0,0,0,0,0,0,0,0
1762195961293114988,0,0,0,0,0,0,0,0,0
1762195961307277994,0,0,0,0,0,0,0,0,0
1762195961320176925,0,0,0,0,0,0,0,0,0
1762195961333021485,0,0,0,0,0,0,0,0,0
1762195961347109880,0,0,0,0,0,0,0,0,0
1762195961360079367,0,0,0,0,0,0,0,0,0
1762195961372952909,0,0,0,0,0,0,0,0,0
1762195961385815525,0,0,0,0,0,0,0,0,0
1762195961399886123,0,0,0,0,0,0,0,0,0
1762195961412745573,0,0,0,0,0,0,0,0,0
1762195961425593985,0,0,0,0,0,0,0,0,0
1762195961438411898,0,0,0,0,0,0,0,0,0
1762195961452514755,0,0,0,0,0,0,0,0,0
1762195961465363519,0,0,0,0,0,0,0,0,0
1762195961478208284,0,0,0,0,0,0,0,0,0
1762195961491025011,0,0,0,0,0,0,0,0,0
1762195961505285739,0,0,0,0,0,0,0,0,0
1762195961563099947,0,0,0,0,0,0,0,0,0
1762195961575932489,0,0,0,0,0,0,0,0,0
1762195961590038810,0,0,0,0,0,0,0,0,0
1762195961602883056,0,0,0,0,0,0,0,0,0
1762195961615709079,0,0,0,0,0,0,0,0,0
1762195961628541066,0,0,0,0,0,0,0,0,0
1762195961641343886,0,0,0,0,0,0,0,0,0
1762195961655550577,0,0,0,0,0,0,0,0,0
1762195961668492526,0,0,0,0,0,nan,0,nan,nan
1762195961681607402,nan,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961695797704,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961708778931,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961721885695,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961734774330,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961748987058,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961762143304,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961775112309,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961788153629,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961802479153,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961815536233,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961828555979,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961841585947,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961855834471,0,0,nan,nan,nan,nan,2,-21.6728,-0.00386635
1762195961869012754,nan,-0.0078125,nan,nan,nan,nan,11,-21.6728,0.144633
1762195961882191278,nan,-0.0078125,nan,nan,nan,nan,11,-21.6726,0.122229
1762195961896516117,3.14643,0,nan,nan,nan,nan,11,-21.6726,0.000766095
1762195961909552029,3.14643,0,nan,nan,nan,nan,11,-21.6721,0.128114
1762195961922747127,3.14643,-0.00390625,nan,nan,nan,nan,11,-21.6731,0.0260976
1762195961935948595,3.14643,-0.00390625,nan,nan,nan,nan,11,-21.6728,-0.0968639
1762195961950185916,3.14631,-0.00585938,nan,nan,nan,nan,11,-21.6727,0.0322482
1762195961963475384,3.14631,-0.0078125,nan,nan,nan,nan,11,-21.6727,-0.0189077
1762195961976515537,3.14628,-0.00195312,nan,nan,nan,nan,11,-21.6727,0.0647554
1762195961989556506,3.14628,-0.00390625,nan,nan,nan,nan,11,-21.6728,-0.0318988
1762195962003877752,3.14616,-0.00390625,nan,nan,nan,nan,11,-21.6728,0.0489946
1762195962016997016,3.14616,0,nan,nan,nan,nan,11,-21.6729,-0.0193611
1762195962030166818,3.14628,0.00390625,nan,nan,nan,nan,11,-21.6726,-0.028035
1762195962043292842,3.14628,-0.00390625,nan,nan,nan,nan,11,-21.6722,-0.108514
1762195962057705310,3.14628,-0.00195312,nan,nan,nan,nan,11,-21.6724,0.0338253
1762195962070952927,3.14629,-0.00195312,nan,nan,nan,nan,11,-21.6725,-0.00650796
1762195962084087617,3.14616,-0.00390625,nan,nan,nan,nan,11,-21.6725,0.134412
1762195962098612716,3.14616,-0.00585938,nan,nan,nan,nan,11,-21.6726,-0.0546675
1762195962111642202,3.14615,0,nan,nan,nan,nan,11,-21.6727,-0.0376747
