timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps,encoder_ang,encoder_speed
1776813108214895273,0,0,0,0,0,0,0,-2,-0.00153398,0
1776813108219739434,0,0,0,0,0,0,0,-2,-0.00153398,0
1776813108224735904,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108229694523,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108234689104,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108239678241,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108244676599,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108249678958,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108254685483,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108259675638,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108264683422,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108269686410,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108274678954,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108279758124,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108284709521,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108289694751,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108294683314,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108299690931,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108304684197,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108309714906,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108314664656,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108319670218,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108324689853,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108329695415,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108334681589,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108339675096,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108344672899,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108349685035,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108354675208,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108359676974,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108364662759,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108369691468,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108374699549,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108379691963,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108384675896,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108389674255,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108394682446,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108399674231,0,0,0.314159,0,0,0,0,-2,-0.00153398,0
1776813108404679534,nan,-0.00390625,inf,-0.00390625,0,0,3,-2,-0.00153398,0
1776813108409675855,nan,-0.00390625,inf,-0.00390625,0,0,11,-2,-0.00153398,0
1776813108414679269,nan,-0.00390625,inf,-0.00390625,0,0,0,-2,-0.00153398,0
1776813108419668351,nan,-0.00390625,inf,-0.00390625,0,0,3,-2,-0.00153398,0
