timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps,encoder_ang,encoder_speed
1772226973961191347,0,0,0,0,0,0,0,0,0,0
1772226973971040391,0,0,0,0,0,0,0,0,0,0
1772226973981007009,0,0,0.314159,0,0,0,0,0,0,0
1772226973990995664,0,0,0.314159,0,0,0,0,0,0,0
1772226974001000876,0,0,0.314159,0,0,0,0,0,0,0
1772226974010997939,0,0,0.314159,0,0,0,0,0,0,0
1772226974021008261,0,0,0.314159,0,0,0,0,0,0,0
1772226974030970472,0,0,0.314159,0,0,0,0,0,0,0
1772226974040997294,0,0,0.314159,0,0,0,0,0,0,0
1772226974051002357,0,0,0.314159,0,0,0,0,0,0,0
1772226974060984161,0,0,0.314159,0,0,0,0,0,0,0
1772226974070984817,0,0,0.314159,0,0,0,0,0,0,0
1772226974080985250,0,0,0.314159,0,0,0,0,0,0,0
1772226974091055110,0,0,0.314159,0,0,0,0,0,0,0
1772226974101031302,0,0,0.314159,0,0,0,0,0,0,0
1772226974111087014,0,0,0.314159,0,0,0,0,0,0,0
1772226974121033225,0,0,0.314159,0,0,0,0,0,0,0
1772226974131017362,0,0,0.314159,0,0,0,0,0,0,0
1772226974140992147,0,0,0.314159,0,0,0,0,0,0,0
1772226974151019784,0,0,0.314159,0,0,0,0,0,0,0
1772226974160981328,3.16423,-0.00195312,0.314159,-0.00195312,0,0,0,0,0,0
1772226974170984928,3.16423,-0.00195312,0.314159,-0.00195312,0,0,3,0,0,0
1772226974181001917,3.16423,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974191000666,3.16423,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1772226974201001321,3.16423,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974210970606,3.16422,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974220995614,3.16422,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974231037251,3.1641,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974241020703,3.1641,0,0.314159,0,0,0,10,0,0,0
1772226974250990136,3.1641,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1772226974260989366,3.16422,0,0.314159,0,0,0,10,0,0,0
1772226974270992096,3.1641,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974280986751,3.1641,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974291004499,3.1641,0,0.314159,0,0,0,10,0,0,0
1772226974300988766,3.1641,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974310969662,3.1641,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974320983170,3.1641,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974330989585,3.1641,0,0.314159,0,0,0,10,0,0,0
1772226974341000240,3.1641,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974351014655,3.16398,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974361033719,3.16398,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974370987077,3.16398,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974380992233,3.16398,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974391014019,3.16385,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974401061193,3.16385,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974410961977,3.16385,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974420977985,3.16385,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974430988474,3.16385,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974441046963,3.16385,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974450989841,3.16371,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974460999219,3.16371,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974470988652,3.16371,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974480998697,3.16371,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974491127520,3.16371,0,0.314159,0,0,0,10,0,0,0
1772226974500995174,3.16371,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974510959089,3.16371,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974520995171,3.16359,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974530996697,3.16359,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974541002334,3.16359,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974551007193,3.16359,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974561002756,3.16359,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974570990227,3.16359,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974581003549,3.16346,0,0.314159,0,0,0,10,0,0,0
1772226974591019353,3.16359,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974601045083,3.16346,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974611004016,3.16346,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974620995042,3.16346,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974631098957,3.16346,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974641027335,3.16346,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974650998768,3.16346,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974661002035,3.16346,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974671033820,3.16346,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974681020087,3.16334,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974691012446,3.16346,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974700997342,3.16334,0,0.314159,0,0,0,10,0,0,0
1772226974711010331,3.16334,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974720991153,3.16334,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974730997883,3.16334,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974741042298,3.16322,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974751011009,3.16322,0,0.314159,0,0,0,10,0,0,0
1772226974760985442,3.16322,0,0.314159,0,0,0,10,0,0,0
1772226974770988820,3.16321,0,0.314159,0,0,0,10,0,0,0
1772226974781012161,3.16321,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974790994428,3.16321,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974800988287,3.16321,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974810987017,3.16321,0,0.314159,0,0,0,10,0,0,0
1772226974820973709,3.16321,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974830995272,3.16321,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1772226974841020391,3.16321,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974851000398,3.16321,0,0.314159,0,0,0,10,0,0,0
1772226974861014776,3.16321,0,0.314159,0,0,0,10,0,0,0
1772226974871012876,3.16309,-0.00585938,0.314159,-0.00585938,0,0,10,0,0,0
1772226974881014106,3.16309,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1772226974891017539,3.16309,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1772226974900994213,3.16309,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
