timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps
1771883068592082497,3.17523,0,0.314159,0,nan,nan,10,-2
1771883068602182300,3.17523,0.00195312,0.314159,0,nan,nan,10,-2
1771883068611996008,3.17523,0,0.314159,0,nan,nan,10,-2
1771883068622015946,3.17523,-0.00195312,0.314159,0.314159,nan,nan,10,-2
1771883068632022106,3.17523,-0.00585938,0.314159,-0.00585938,nan,nan,10,-2
1771883068642096355,3.17523,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
1771883068652068110,3.17523,0,0.314159,0,nan,nan,10,-2
1771883068662064159,3.17523,0,0.314159,0,nan,nan,10,2143289344
1771883068672817426,3.17523,0,0.314159,0,nan,nan,10,-2
1771883068682098145,3.17523,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068692299110,3.17535,0.00390625,0.314159,0.00390625,nan,nan,10,-2
1771883068701885386,3.17535,0,0.314159,0,nan,nan,10,-2
1771883068712075832,3.17535,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068722089140,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068732089338,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068742032835,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068751934612,3.17535,0,0.314159,0,nan,nan,10,-2
1771883068761961531,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068772243083,3.17535,0,0.314159,0,nan,nan,10,-2
1771883068782707958,3.17535,0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068791940217,3.17535,0,0.314159,0,nan,nan,10,-2
1771883068801841958,3.17535,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068812466676,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068821999289,3.17535,0,0.314159,0,nan,nan,10,-2
1771883068834486087,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068842065976,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068851975642,3.17535,-0.00195312,0.314159,-0.00585938,nan,nan,10,-2
1771883068862124535,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068872075773,3.17535,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883068882486373,3.17535,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068892281379,3.17547,0.00585938,0.314159,0.00585938,nan,nan,10,-2
1771883068902153806,3.17547,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068912042232,3.17547,0,0.314159,0,nan,nan,10,-2
1771883068922109074,3.17547,0,0.314159,0,nan,nan,10,-2
1771883068931988871,3.17547,0,0.314159,0,nan,nan,10,-2
1771883068942138764,3.17547,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068952076835,3.17559,3.17559,0.314159,-0.00195312,nan,nan,10,-2
1771883068962096402,3.17559,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883068971716195,3.17559,0,0.314159,0,nan,nan,10,-2
1771883068981817017,3.17559,0,0.314159,0.00390625,nan,nan,10,-2
1771883068991961151,3.17571,0.00390625,0.314159,0.00390625,nan,nan,10,-2
1771883069002002643,3.17571,0,0.314159,-0.00195312,nan,nan,10,-2
1771883069011788760,3.17571,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069021850972,3.17571,0.00195312,0.314159,0,nan,nan,10,-2
1771883069031873131,3.17571,0,0.314159,0,nan,nan,10,-2
1771883069041758224,3.17583,0,0.314159,0,nan,nan,10,-2
1771883069051910987,3.17583,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069061846059,3.17583,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069071849738,3.17583,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069081812326,3.17583,0,0.314159,0,nan,nan,10,-2
1771883069091853318,3.17583,0,0.314159,0,nan,nan,10,-2
1771883069101871922,3.17595,0,0.314159,0,nan,nan,10,-2
1771883069112101625,3.17595,0,0.314159,0,nan,nan,10,-2
1771883069122385399,3.17583,-0.00390625,0.314159,-0.00390625,nan,nan,10,-2
1771883069132451500,3.17595,-0.00195312,0.314159,-0.00195312,nan,nan,10,-2
1771883069142225988,3.17595,-0.00195312,0.314159,0,nan,nan,10,-2
1771883069152138283,3.17595,0.00195312,0.314159,0.00195312,nan,nan,10,-2
1771883069162129296,3.17595,0,0.314159,0,nan,nan,10,-2
