timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps,encoder_ang,encoder_speed
1776902640090726125,3.10605,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640095728624,3.10605,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640100735994,3.10605,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640105736603,3.10605,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640110725526,3.10605,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640115698538,3.10605,0,0.314159,0,0,0,10,0,0,0
1776902640120724837,3.10605,0,0.314159,0,0,0,10,0,0,0
1776902640125720131,3.10605,0,0.314159,0,0,0,10,0,0,0
1776902640130723500,3.10605,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640135742335,3.10605,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640140751186,3.10605,0,0.314159,0,0,0,10,0,0,0
1776902640145729626,3.10605,0,0.314159,0,0,0,10,0,0,0
1776902640150731643,3.10605,0,0.314159,0,0,0,10,0,0,0
1776902640155729344,3.10605,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640160727472,3.10605,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640165710245,3.10605,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640170730636,3.10605,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640175722244,3.10605,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640180729336,3.10593,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640185723166,3.10593,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640190732870,3.10593,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640195730238,3.10593,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640200770206,3.10593,0,0.314159,0,0,0,10,0,0,0
1776902640205746311,3.1058,0,0.314159,0,0,0,10,0,0,0
1776902640210734141,3.1058,0.00585938,0.314159,0.00585938,0,0,10,0,0,0
1776902640215706727,3.1058,0.00585938,0.314159,0.00585938,0,0,10,0,0,0
1776902640220718320,3.1058,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640225739785,3.1058,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640230724503,3.10593,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640235793661,3.10593,0,0.314159,0,0,0,10,0,0,0
1776902640240738983,3.10593,0,0.314159,0,0,0,10,0,0,0
1776902640245809938,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640250750908,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640255742145,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640260733605,3.1058,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640265716027,3.1058,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640270724489,3.1058,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640275750714,3.1058,0,0.314159,0,0,0,10,0,0,0
1776902640280729246,3.1058,0,0.314159,0,0,0,10,0,0,0
1776902640285721224,3.1058,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640290726446,3.10593,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640295720387,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640300733406,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640305722810,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640310725290,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640315702155,3.10593,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640320728380,3.10593,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640325728397,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640330731581,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640335723170,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640340730874,3.10593,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640345729372,3.10593,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640350723147,3.10593,-0.00390625,0.314159,-0.00390625,0,0,10,0,0,0
1776902640355720793,3.10593,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640360767373,3.1058,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640365730347,3.1058,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640370723047,3.1058,0,0.314159,0,0,0,10,0,0,0
1776902640375755014,3.1058,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640380736917,3.1058,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640385737359,3.1058,0.00585938,0.314159,0.00585938,0,0,10,0,0,0
1776902640390726856,3.10592,0.00585938,0.314159,0.00585938,0,0,10,0,0,0
1776902640395735652,3.10592,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640400831704,3.10592,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640405751836,3.10592,0.00390625,0.314159,0.00390625,0,0,10,0,0,0
1776902640410728127,3.10592,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640415739053,3.10592,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640420741311,3.10592,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640425741272,3.10592,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640430732751,3.10592,-0.00195312,0.314159,-0.00195312,0,0,10,0,0,0
1776902640435739120,3.10592,0,0.314159,0,0,0,10,0,0,0
1776902640440728191,3.10592,0,0.314159,0,0,0,10,0,0,0
1776902640445723614,3.10592,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640450797644,3.10592,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
1776902640455762543,3.10592,0.00195312,0.314159,0.00195312,0,0,10,0,0,0
