timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,encoder_steps
1770844739180638291,0,0,0,0,0,0,0,0
1770844739191873848,0,0,0,0,0,0,0,0
1770844739203243344,0,0,0,0,0,0,0,0
1770844739214770963,0,0,0,0,0,0,0,0
1770844739226091424,0,0,0,0,0,0,0,0
1770844739238800902,0,0,0,0,0,0,0,0
1770844739250258876,0,0,0,0,0,0,0,0
1770844739261580262,0,0,0,0,0,0,0,0
1770844739273076253,0,0,0,0,0,0,0,0
1770844739285783824,0,0,0,0,0,0,0,0
1770844739297362830,0,0,0,0,0,0,0,0
1770844739308691531,0,0,0,0,0,0,0,0
1770844739320168634,0,0,0,0,0,0,0,0
1770844739331672309,0,0,0,0,0,0,0,0
1770844739344266144,0,0,0,0,0,0,0,0
1770844739355758783,0,0,0,0,0,0,0,0
1770844739367118354,0,0,0,0,0,0,0,0
1770844739378587994,0,0,0,0,0,0,0,0
1770844739391225123,0,0,0,0,0,0,0,0
1770844739402716484,0,0,0,0,0,0,0,0
1770844739414062926,0,0,0,0,0,0,0,0
1770844739425581045,0,0,0,0,0,0,0,0
1770844739438290319,0,0,0,0,0,0,0,0
1770844739449726313,0,0,0,0,0,0,0,0
1770844739461170083,0,0,0,0,0,0,0,0
1770844739472620354,0,0,0,0,0,0,0,0
1770844739485479159,0,0,0,0,0,0,0,0
1770844739496976520,0,0,0,0,0,0,0,0
1770844739508433383,0,0,0,0,0,0,0,0
1770844739519875191,0,0,0,0,0,0,0,0
1770844739531315017,0,0,0,0,0,0,0,0
1770844739544022532,0,0,0,0,0,0,0,0
1770844739555460507,0,0,0,0,0,0,0,0
1770844739566901796,0,0,0,0,0,0,0,0
1770844739578361770,0,0,0,0,0,0,0,0
1770844739591127690,0,0,0,0,0,0,0,0
1770844739602585479,0,0,0,0,0,0,0,0
1770844739614055841,0,0,0,0,0,0,0,0
1770844739625533648,0,0,0,0,0,0,0,0
1770844739638257125,0,0,0,0,0,0,0,0
1770844739649717599,0,0,0,0,0,0,0,0
1770844739661168610,0,0,0,0,0,0,0,0
1770844739672623639,0,0,0,0,0,0,0,0
1770844739685491389,0,0,0,0,0,0,0,0
1770844739697013193,0,0,0,0,0,0,0,0
1770844739708512832,0,0,0,0,0,0,0,0
1770844739719965788,0,0,0,0,0,0,0,0
1770844739731407021,0,0,0,0,0,0,0,0
1770844739744114240,0,0,0,0,0,0,0,0
1770844739755542567,0,0,0,0,0,0,0,0
1770844739766969579,0,0,0,0,0,0,0,0
1770844739778395054,0,0,0,0,0,0,0,0
1770844739791102144,0,0,0,0,0,0,0,0
1770844739802522008,0,0,0,0,0,0,0,0
1770844739813953316,0,0,0,0,0,0,0,0
1770844739825434641,0,0,0,0,0,0,0,0
1770844739838211283,0,0,0,0,0,0,0,0
1770844739849694052,0,0,0,0,0,0,0,0
1770844739861162100,0,0,0,0,0,0,0,0
1770844739872663405,0,0,0,0,0,0,0,0
1770844739885493933,0,0,0,0,0,0,0,0
1770844739897025793,0,0,0,0,0,0,0,0
1770844739908505137,0,0,0,0,0,0,0,0
1770844739919964555,0,0,0,0,0,0,0,0
1770844739931517932,0,0,0,0,0,0,0,0
1770844739944230966,0,0,0,0,0,0,0,0
1770844739955690513,0,0,0,0,0,0,0,0
1770844739967128210,0,0,0,0,0,0,0,0
1770844739978567333,0,0,0,0,0,0,0,0
1770844739991274348,0,0,0,0,0,0,0,0
1770844740002855632,0,0,0,0,0,0,0,0
1770844740014615926,0,nan,nan,nan,nan,nan,0,0
1770844740026387220,nan,nan,nan,nan,nan,nan,0,0
1770844740039267525,0,0,nan,nan,nan,nan,0,0
1770844740050954878,0,0,nan,nan,nan,nan,0,0
1770844740062698636,0,0,nan,nan,nan,nan,0,0
1770844740074364508,0,0,nan,nan,nan,nan,0,0
1770844740087378881,0,0,nan,nan,nan,nan,0,0
1770844740099175415,0,0,nan,nan,nan,nan,0,0
1770844740110894767,0,0,nan,nan,nan,nan,0,0
1770844740122602804,0,0,nan,nan,nan,nan,0,0
1770844740135521477,0,0,nan,nan,nan,nan,0,0
1770844740147244884,0,0,nan,nan,nan,nan,0,0
1770844740158967218,0,0,nan,nan,nan,nan,0,0
1770844740170699773,0,0,nan,nan,nan,nan,0,0
1770844740183605057,0,0,nan,nan,nan,nan,0,0
1770844740195281244,0,0,nan,nan,nan,nan,0,0
1770844740206916359,0,0,nan,nan,nan,nan,2,0
1770844740218652858,nan,0.00195312,nan,nan,nan,nan,3,0
1770844740230268140,nan,0.00585938,nan,nan,nan,nan,10,0
1770844740243133370,3.08434,0.00195312,nan,nan,nan,nan,10,0
1770844740254875907,3.08425,0.00390625,nan,nan,nan,nan,10,0
